Author,Study_Ref,Study_DOI,Exposure,Outcome,Instrument,Reported_Measure,Coeff_G_X,Coeff_G_X_SE,Coeff_G_Y,Coeff_G_Y_SE
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs11685299,Beta,-0.027,0.005,-0.028,0.015
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs11693094,Beta,-0.032,0.004,-0.004,0.008
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs117074560,Beta,-0.071,0.012,-0.011,0.02
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs11740474,Beta,-0.026,0.005,-0.011,0.008
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs12129573,Beta,0.033,0.005,0.035,0.009
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs12148337,Beta,0.025,0.004,-0.002,0.008
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs12325245,Beta,-0.036,0.006,-0.016,0.012
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs12421382,Beta,-0.026,0.005,-0.021,0.009
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs12522290,Beta,0.035,0.006,-0.002,0.011
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs12691307,Beta,0.031,0.005,-0.003,0.009
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs12704290,Beta,-0.044,0.007,-0.017,0.013
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs12826178,Beta,-0.073,0.01,0.028,0.018
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs12887734,Beta,0.037,0.005,0.032,0.009
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs12903146,Beta,0.028,0.005,0.01,0.008
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs13240464,Beta,0.035,0.005,-0.007,0.009
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs1339227,Beta,-0.026,0.005,-0.004,0.015
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs140505938,Beta,-0.039,0.006,-0.008,0.011
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs14403,Beta,-0.03,0.005,-0.013,0.01
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs1498232,Beta,0.029,0.005,0.015,0.009
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs1501357,Beta,-0.033,0.006,-0.02,0.011
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs16867576,Beta,0.042,0.007,0.01,0.012
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs1702294,Beta,-0.052,0.006,-0.029,0.01
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs17194490,Beta,0.042,0.006,0.042,0.011
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs190065944,Beta,0.033,0.006,0.021,0.061
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs2007044,Beta,-0.04,0.005,0.008,0.008
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs2053079,Beta,-0.031,0.005,0.022,0.01
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs2068012,Beta,-0.03,0.005,-0.005,0.01
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs211829,Beta,0.026,0.005,0.015,0.008
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs215411,Beta,0.027,0.005,-0.01,0.009
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs2239063,Beta,0.028,0.005,0.012,0.016
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs2332700,Beta,0.031,0.005,-0.013,0.01
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs2514218,Beta,-0.033,0.005,0.003,0.009
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs2535627,Beta,0.03,0.004,-0.009,0.008
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs2693698,Beta,-0.027,0.005,0.009,0.008
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs2851447,Beta,-0.039,0.005,-0.029,0.01
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs2905426,Beta,-0.03,0.005,0.017,0.009
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs2909457,Beta,-0.025,0.005,-0.013,0.008
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs2973155,Beta,-0.03,0.005,0.003,0.015
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs324017,Beta,-0.028,0.005,0.02,0.009
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs35518360,Beta,-0.067,0.009,0.042,0.016
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs36068923,Beta,-0.037,0.005,0.003,0.01
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs3735025,Beta,0.028,0.005,0.031,0.009
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs3768644,Beta,-0.044,0.007,0.02,0.013
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs3849046,Beta,0.027,0.005,-0.016,0.014
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs4129585,Beta,0.036,0.004,-0.009,0.008
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs4240748,Beta,-0.025,0.005,0.007,0.009
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs4330281,Beta,-0.027,0.005,-0.009,0.008
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs4388249,Beta,0.032,0.006,-0.011,0.011
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs4391122,Beta,-0.035,0.005,-0.01,0.008
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs4523957,Beta,0.03,0.005,0.016,0.009
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs4648845,Beta,0.03,0.005,0.013,0.009
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs4702,Beta,-0.035,0.005,-0.022,0.008
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs4766428,Beta,0.029,0.005,-0.008,0.009
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs55661361,Beta,-0.033,0.005,-0.011,0.009
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs55833108,Beta,0.031,0.006,0,0.01
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs56205728,Beta,0.031,0.005,0.028,0.017
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs59979824,Beta,-0.028,0.005,-0.02,0.009
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs6002655,Beta,0.028,0.005,-0.031,0.009
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs6065094,Beta,-0.032,0.005,-0.015,0.009
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs6434928,Beta,-0.032,0.005,-0.012,0.009
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs6466055,Beta,0.029,0.005,0.019,0.009
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs6670165,Beta,0.031,0.006,-0.007,0.01
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs6704641,Beta,0.034,0.006,-0.014,0.011
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs6704768,Beta,-0.032,0.004,-0.02,0.008
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs679087,Beta,-0.026,0.005,-0.008,0.009
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs6984242,Beta,-0.026,0.005,0.006,0.008
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs715170,Beta,-0.029,0.005,-0.004,0.009
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs7267348,Beta,-0.028,0.005,0.025,0.01
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs72934570,Beta,-0.059,0.009,-0.001,0.015
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs73229090,Beta,-0.042,0.007,0.007,0.013
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs7405404,Beta,0.032,0.005,0.027,0.01
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs7432375,Beta,-0.03,0.005,-0.002,0.008
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs75059851,Beta,0.038,0.006,-0.014,0.01
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs7523273,Beta,0.027,0.005,0.009,0.009
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs75575209,Beta,-0.045,0.008,0.037,0.025
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs75968099,Beta,0.035,0.005,0.025,0.009
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs76869799,Beta,-0.073,0.013,-0.048,0.026
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs77149735,Beta,0.12,0.02,-0.004,0.035
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs77502336,Beta,0.028,0.005,-0.003,0.009
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs7801375,Beta,-0.034,0.006,-0.014,0.011
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs7819570,Beta,0.033,0.006,0.03,0.018
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs78322266,Beta,0.075,0.013,0.084,0.025
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs7893279,Beta,0.051,0.007,0.011,0.013
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs7907645,Beta,0.058,0.009,-0.016,0.031
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs79212538,Beta,0.063,0.011,0.008,0.021
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs8042374,Beta,0.039,0.005,-0.009,0.01
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs8044995,Beta,0.034,0.006,-0.003,0.011
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs8082590,Beta,-0.027,0.005,0.026,0.009
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs832187,Beta,-0.026,0.005,-0.007,0.009
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs9420,Beta,0.029,0.005,0.009,0.009
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs950169,Beta,-0.035,0.005,-0.007,0.009
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs9607782,Beta,0.036,0.005,-0.006,0.01
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs9636107,Beta,-0.032,0.004,-0.013,0.008
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs9841616,Beta,-0.034,0.006,-0.005,0.011
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs9922678,Beta,0.028,0.005,0.018,0.009
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.009,Genetically Determined CRP,Schizophrenia,rs10512597,OR,-0.037,0.005,-0.016,0.371
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.009,Genetically Determined CRP,Schizophrenia,rs1051338,OR,0.024,0.004,0.176,0.482
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.009,Genetically Determined CRP,Schizophrenia,rs10521222,OR,0.104,0.011,-0.087,0.311
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.009,Genetically Determined CRP,Schizophrenia,rs10778215,OR,0.033,0.004,-0.737,0.322
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.009,Genetically Determined CRP,Schizophrenia,rs10832027,OR,0.023,0.004,-0.848,0.432
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.009,Genetically Determined CRP,Schizophrenia,rs10838687,OR,-0.031,0.004,0.068,0.407
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.009,Genetically Determined CRP,Schizophrenia,rs10925027,OR,0.036,0.004,0.097,0.302
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.009,Genetically Determined CRP,Schizophrenia,rs11108056,OR,-0.028,0.004,-0.287,0.383
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.009,Genetically Determined CRP,Schizophrenia,rs112635299,OR,-0.096,0.016,-0.438,0.387
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.009,Genetically Determined CRP,Schizophrenia,rs1189402,OR,0.023,0.004,0.564,0.444
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.009,Genetically Determined CRP,Schizophrenia,rs12202641,OR,-0.023,0.004,-0.298,0.482
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.009,Genetically Determined CRP,Schizophrenia,rs1260326,OR,0.077,0.004,-0.083,0.147
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.009,Genetically Determined CRP,Schizophrenia,rs12960928,OR,0.024,0.004,0.9,0.5
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.009,Genetically Determined CRP,Schizophrenia,rs12995480,OR,-0.031,0.005,0.483,0.451
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.009,Genetically Determined CRP,Schizophrenia,rs13233571,OR,0.057,0.005,0.23,0.294
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.009,Genetically Determined CRP,Schizophrenia,rs13409371,OR,0.048,0.004,-0.089,0.228
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.009,Genetically Determined CRP,Schizophrenia,rs1441169,OR,-0.025,0.004,0.197,0.433
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.009,Genetically Determined CRP,Schizophrenia,rs1490384,OR,-0.026,0.004,0.238,0.435
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.009,Genetically Determined CRP,Schizophrenia,rs1514895,OR,0.004,0,1.745,0.43
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.009,Genetically Determined CRP,Schizophrenia,rs1558902,OR,0.034,0.004,-0.186,0.321
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.009,Genetically Determined CRP,Schizophrenia,rs1582763,OR,-0.025,0.004,-0.629,0.507
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.009,Genetically Determined CRP,Schizophrenia,rs17658229,OR,0.056,0.01,-0.185,0.5
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.009,Genetically Determined CRP,Schizophrenia,rs178810,OR,0.02,0.004,-0.854,0.54
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.009,Genetically Determined CRP,Schizophrenia,rs1800961,OR,-0.104,0.012,0.275,0.269
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.009,Genetically Determined CRP,Schizophrenia,rs1805096,OR,0.104,0.004,-0.21,0.105
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.009,Genetically Determined CRP,Schizophrenia,rs1880241,OR,0.027,0.004,0.396,0.392
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.009,Genetically Determined CRP,Schizophrenia,rs2064009,OR,-0.027,0.004,-1.383,0.391
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.009,Genetically Determined CRP,Schizophrenia,rs2239222,OR,-0.036,0.004,-0.414,0.31
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.009,Genetically Determined CRP,Schizophrenia,rs2293476,OR,0.035,0.005,-0.32,0.42
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.009,Genetically Determined CRP,Schizophrenia,rs2315008,OR,-0.023,0.004,-1.083,0.486
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.009,Genetically Determined CRP,Schizophrenia,rs2352975,OR,0.025,0.004,-1.337,0.47
