Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Bowden, J., Fabiola Del Greco, M., Minelli, C., Smith, G.D., Sheehan, N.A., Thompson, J.R.",26321030600;56441673700;57205551994;35354080500;7006433812;7405821967;,Assessing the suitability of summary data for two-sample mendelian randomization analyses using MR-Egger regression: The role of the I 2 statistic,2016,International Journal of Epidemiology,45,6,dyw220,1961,1974,,954,10.1093/ije/dyw220,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017096444&doi=10.1093%2fije%2fdyw220&partnerID=40&md5=f3780ef1a0e36f4f8b7d28408ce0a1fe,Article,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85017096444
"Sanna, S., van Zuydam, N.R., Mahajan, A., Kurilshikov, A., Vich Vila, A., Võsa, U., Mujagic, Z., Masclee, A.A.M., Jonkers, D.M.A.E., Oosting, M., Joosten, L.A.B., Netea, M.G., Franke, L., Zhernakova, A., Fu, J., Wijmenga, C., McCarthy, M.I.",16646989300;57207897338;8907580300;55227390000;57191623831;42462595300;56197282500;7103116978;6701864464;26422377500;7006881064;35378641700;56310093600;9737684500;8633742800;7005273061;7402061249;,"Causal relationships among the gut microbiome, short-chain fatty acids and metabolic diseases",2019,Nature Genetics,51,4,,600,605,,922,10.1038/s41588-019-0350-x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061738433&doi=10.1038%2fs41588-019-0350-x&partnerID=40&md5=8a46965b3300a3d8c4a0763b2cd3cca2,Letter,Final,"All Open Access, Green",Scopus,2-s2.0-85061738433
"Burgess, S., Davies, N.M., Thompson, S.G.",57722208500;41561133300;7403232897;,Bias due to participant overlap in two-sample Mendelian randomization,2016,Genetic Epidemiology,40,7,,597,608,,915,10.1002/gepi.21998,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991619426&doi=10.1002%2fgepi.21998&partnerID=40&md5=0c923b91ecaa053c9157a44151089840,Article,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-84991619426
"Burgess, S., Davey Smith, G., Davies, N.M., Dudbridge, F., Gill, D., Glymour, M.M., Hartwig, F.P., Holmes, M.V., Minelli, C., Relton, C.L., Theodoratou, E.",37080302300;57220145221;41561133300;6602743665;56890453400;6508325755;51863852400;35740512000;57205551994;6603403494;16242774200;,Guidelines for performing Mendelian randomization investigations,2020,Wellcome Open Research,4,,186,,,,802,10.12688/wellcomeopenres.15555.2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089770182&doi=10.12688%2fwellcomeopenres.15555.2&partnerID=40&md5=892627a48b904127c799b6d1dc6b82de,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85089770182
"Hemani, G., Bowden, J., Davey Smith, G.",57207869708;26321030600;57220145221;,Evaluating the potential role of pleiotropy in Mendelian randomization studies,2018,Human Molecular Genetics,27,R2,,R195,R208,,790,10.1093/hmg/ddy163,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049776873&doi=10.1093%2fhmg%2fddy163&partnerID=40&md5=f250da6a0dcabf886e1703dc8cc79515,Review,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-85049776873
"Lawlor, D.A., Tilling, K., Smith, G.D.",7102452820;57226203691;35354080500;,Triangulation in aetiological epidemiology,2016,International Journal of Epidemiology,45,6,,1866,1886,,683,10.1093/ije/dyw314,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017184849&doi=10.1093%2fije%2fdyw314&partnerID=40&md5=a9f46e4b45f67b4dffa5f8d1118e1b2e,Article,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-85017184849
"Bowden, J., Holmes, M.V.",26321030600;35740512000;,Meta-analysis and Mendelian randomization: A review,2019,Research Synthesis Methods,10,4,,486,496,,633,10.1002/jrsm.1346,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075392797&doi=10.1002%2fjrsm.1346&partnerID=40&md5=dcd33601ae4467cce3aa1be469a5feb3,Review,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85075392797
"Skrivankova, V.W., Richmond, R.C., Woolf, B.A.R., Davies, N.M., Swanson, S.A., Vanderweele, T.J., Timpson, N.J., Higgins, J.P.T., Dimou, N., Langenberg, C., Loder, E.W., Golub, R.M., Egger, M., Smith, G.D., Richards, J.B.",55832005700;56118190500;57222624465;41561133300;26428446200;57216598894;35355373400;57307017300;24586876800;58062162200;22734783200;36774503400;34768019000;57285115400;57217631678;,Strengthening the reporting of observational studies in epidemiology using mendelian randomisation (STROBE-MR): Explanation and elaboration,2021,The BMJ,375,,n2233,,,,579,10.1136/bmj.n2233,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118463856&doi=10.1136%2fbmj.n2233&partnerID=40&md5=d4dab857668663f6e08d6f5d4981cca9,Article,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-85118463856
"Richardson, T.G., Sanderson, E., Palmerid, T.M., Korpelaid, M.A., Ference, B.A., Smith, G.D., Holmes, M.V.",55986639700;56707095100;57217010692;57217004744;6506040626;35354080500;35740512000;,Evaluating the relationship between circulating lipoprotein lipids and apolipoproteins with risk of coronary heart disease: A multivariable Mendelian randomisation analysis,2020,PLoS Medicine,17,3,e1003062,,,,462,10.1371/JOURNAL.PMED.1003062,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082281133&doi=10.1371%2fJOURNAL.PMED.1003062&partnerID=40&md5=00a45cd97322ac156e71eda1aed0eb50,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85082281133
"Choi, K.W., Chen, C.-Y., Stein, M.B., Klimentidis, Y.C., Wang, M.-J., Koenen, K.C., Smoller, J.W., Wray, N.R., Ripke, S., Mattheisen, M., Trzaskowski, M., Byrne, E.M., Abdellaoui, A., Adams, M.J., Agerbo, E., Air, T.M., Andlauer, T.F.M., Bacanu, S.-A., Bækvad-Hansen, M., Beekman, A.T.F., Bigdeli, T.B., Binder, E.B., Blackwood, D.H.R., Bryois, J., Buttenschøn, H.N., Bybjerg-Grauholm, J., Cai, N., Castelao, E., Christensen, J.H., Clarke, T.-K., Coleman, J.R.I., Colodro-Conde, L., Couvy-Duchesne, B., Craddock, N., Crawford, G.E., Davies, G., Deary, I.J., Degenhardt, F., Derks, E.M., Direk, N., Dolan, C.V., Dunn, E.C., Eley, T.C., Escott-Price, V., Kiadeh, F.F.H., Finucane, H.K., Forstner, A.J., Frank, J., Gaspar, H.A., Gill, M., Goes, F.S., Gordon, S.D., Grove, J., Hall, L.S., Hansen, C.S., Hansen, T.F., Herms, S., Hickie, I.B., Hoffmann, P., Homuth, G., Horn, C., Hottenga, J.-J., Hougaard, D.M., Ising, M., Jansen, R., Jorgenson, E., Knowles, J.A., Kohane, I.S., Kraft, J., Kretzschmar, W.W., Krogh, J., Kutalik, Z., Li, Y., Lind, P.A., MacIntyre, D.J., MacKinnon, D.F., Maier, R.M., Maier, W., Marchini, J., Mbarek, H., McGrath, P., McGuffin, P., Medland, S.E., Mehta, D., Middeldorp, C.M., Mihailov, E., Milaneschi, Y., Milani, L., Mondimore, F.M., Montgomery, G.W., Mostafavi, S., Mullins, N., Nauck, M., Ng, B., Nivard, M.G., Nyholt, D.R., O'Reilly, P.F., Oskarsson, H., Owen, M.J., Painter, J.N., Pedersen, C.B., Pedersen, M.G., Peterson, R.E., Pettersson, E., Peyrot, W.J., Pistis, G., Posthuma, D., Quiroz, J.A., Qvist, P., Rice, J.P., Riley, B.P., Rivera, M., Mirza, S.S., Schoevers, R., Schulte, E.C., Shen, L., Shi, J., Shyn, S.I., Sigurdsson, E., Sinnamon, G.C.B., Smit, J.H., Smith, D.J., Stefansson, H., Steinberg, S., Streit, F., Strohmaier, J., Tansey, K.E., Teismann, H., Teumer, A., Thompson, W., Thomson, P.A., Thorgeirsson, T.E., Traylor, M., Treutlein, J., Trubetskoy, V., Uitterlinden, A.G., Umbricht, D., van der Auwera, S., van Hemert, A.M., Viktorin, A., Visscher, P.M., Wang, Y., Webb, B.T., Weinsheimer, S.M., Wellmann, J., Willemsen, G., Witt, S.H., Wu, Y., Xi, H.S., Yang, J., Zhang, F., Arolt, V., Baune, B.T., Berger, K., Boomsma, D.I., Cichon, S., Dannlowski, U., de Geus, E.J.C., Raymond DePaulo, J., Domenici, E., Domschke, K., Esko, T., Grabe, H.J., Hamilton, S.P., Hayward, C., Heath, A.C., Kendler, K.S., Kloiber, S., Lewis, G., Li, Q.S., Lucae, S., Madden, P.A.F., Magnusson, P.K., Martin, N.G., McIntosh, A.M., Metspalu, A., Mors, O., Mortensen, P.B., Müller-Myhsok, B., Nordentoft, M., Nöthen, M.M., O'Donovan, M.C., Paciga, S.A., Pedersen, N.L., Penninx, B.W.J.H., Perlis, R.H., Porteous, D.J., Potash, J.B., Preisig, M., Rietschel, M., Schaefer, C., Schulze, T.G., Stefansson, K., Tiemeier, H., Uher, R., Völzke, H., Weissman, M.M., Werge, T., Lewis, C.M., Levinson, D.F., Breen, G., Børglum, A.D., Sullivan, P.F.",55924470700;56533405900;7402996817;15081086900;56145734800;6603757100;7006674071;7006428088;23398729000;8636730800;57207901122;24340765200;57215382116;55454016200;6603788071;6506575144;35261537200;6602873682;57216111429;7005920751;57197805174;7005123219;7006606466;53876772700;6507025976;57188986921;56601142200;8628275700;35315516700;16309036200;56661677400;47461007700;56335739400;35352014300;57211339132;7402854331;57193752767;36787941900;57211618283;24480340500;7005212983;35620229400;7003787769;55831380100;57200127487;57211789616;57207902671;57211853048;55191108800;57224656914;7004026363;56884953600;57191270755;55445729400;57194712998;35765453400;24171122900;17734678500;35242500200;56357082900;56593503000;6508277910;7003632207;6701656705;57204716727;57216999620;26642897000;35264289500;57200126847;36668642700;15069543200;35239982300;43061162200;23019149500;8947146700;7103291518;57201786396;57210461001;56359523500;57220380086;57027117600;57203252012;34571085600;57204744255;57211249183;57220420587;57201570703;56998409700;6508125168;8739667300;16175819700;57211720273;57206034720;15521369200;55200498200;6701531258;24504286800;57222727868;36044041500;7006561382;7202774222;16686782600;15623750600;57194494906;55363688800;55335746300;57211973500;7004195640;57196658116;57218093411;56860075400;18038126000;41561647500;6601994241;7102698477;53869527100;57193324786;7801642071;57221800523;54783471100;35376237100;58619489600;6604083232;56822324300;57218333987;57215522045;35171626800;36802891200;57221722501;55348388400;22945608300;57205771152;55290620300;16232076200;56224437500;35231615000;57203146515;56080884100;56482013500;57219721399;7102668046;57192258189;57203529813;57212867727;57806659400;57209063721;7102424991;57194210011;57212441980;35091663300;55495448800;56247579900;6603807336;56513330600;35378012400;56979466600;13806470600;7006594888;7004398249;6603420961;6505952781;26648246800;7004509281;56870784700;35369845200;7201835346;7006868555;57209775985;7402636617;57211856676;58319970300;7102050074;24756281600;57195254907;56208173500;7004697483;7004006411;7102903327;56234961000;7006191523;35355123900;7103147367;57204744358;7202300001;55800249300;34572658900;7006940003;57204789386;6701501063;16741658400;7202212082;57203081336;56833814500;6603547661;57201919550;56662814100;56421537600;6701738296;57218312478;57217000006;15742166000;7004609664;7402033718;,Assessment of bidirectional relationships between physical activity and depression among adults a 2-sample Mendelian randomization study,2019,JAMA Psychiatry,76,4,,399,408,,429,10.1001/jamapsychiatry.2018.4175,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060636707&doi=10.1001%2fjamapsychiatry.2018.4175&partnerID=40&md5=bddd751b2b286982134461d15fb9643a,Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-85060636707
"Holmes, M.V., Ala-Korpela, M., Smith, G.D.",35740512000;7003418142;35354080500;,Mendelian randomization in cardiometabolic disease: Challenges in evaluating causality,2017,Nature Reviews Cardiology,14,10,,577,599,,423,10.1038/nrcardio.2017.78,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027694919&doi=10.1038%2fnrcardio.2017.78&partnerID=40&md5=fd3117a8d909333dbaa1790850b05de6,Review,Final,"All Open Access, Green",Scopus,2-s2.0-85027694919
"Bowden, J., Del Greco M, F., Minelli, C., Zhao, Q., Lawlor, D.A., Sheehan, N.A., Thompson, J., Davey Smith, G.",26321030600;57204091824;57205551994;57197799414;7102452820;7006433812;7405821967;35354080500;,Improving the accuracy of two-sample summary-data Mendelian randomization: Moving beyond the NOME assumption,2019,International Journal of Epidemiology,48,3,,728,742,,394,10.1093/ije/dyy258,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070515768&doi=10.1093%2fije%2fdyy258&partnerID=40&md5=d9dd165f360247e03a137884457af54f,Article,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85070515768
"Sanderson, E., Glymour, M.M., Holmes, M.V., Kang, H., Morrison, J., Munafò, M.R., Palmer, T., Schooling, C.M., Wallace, C., Zhao, Q., Davey Smith, G.",56707095100;6508325755;35740512000;55901493300;20335413400;7004859481;16310563500;12808565000;57201960626;57197799414;57220145221;,Mendelian randomization,2022,Nature Reviews Methods Primers,2,1,6,,,,391,10.1038/s43586-021-00092-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127260920&doi=10.1038%2fs43586-021-00092-5&partnerID=40&md5=15f39f3ed5df0a1dab900718a6a01463,Review,Final,"All Open Access, Green",Scopus,2-s2.0-85127260920
"Jones, S.E., Lane, J.M., Wood, A.R., van Hees, V.T., Tyrrell, J., Beaumont, R.N., Jeffries, A.R., Dashti, H.S., Hillsdon, M., Ruth, K.S., Tuke, M.A., Yaghootkar, H., Sharp, S.A., Jie, Y., Thompson, W.D., Harrison, J.W., Dawes, A., Byrne, E.M., Tiemeier, H., Allebrandt, K.V., Bowden, J., Ray, D.W., Freathy, R.M., Murray, A., Mazzotti, D.R., Gehrman, P.R., Lawlor, D.A., Frayling, T.M., Rutter, M.K., Hinds, D.A., Saxena, R., Weedon, M.N.",57225857711;55934765000;36505189800;56904096900;36149612100;57156164500;15843707800;56195278500;6603507307;57220337912;55854153500;57223117018;57201468304;57205609971;57203212006;55753963200;57205617044;24340765200;6603547661;36881927500;26321030600;57217603814;13410580600;57833059800;26534605100;6505811770;7102452820;7003962934;7201521766;57195241284;7006931003;6603919352;,"Genome-wide association analyses of chronotype in 697,828 individuals provides insights into circadian rhythms",2019,Nature Communications,10,1,343,,,,384,10.1038/s41467-018-08259-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060800167&doi=10.1038%2fs41467-018-08259-7&partnerID=40&md5=69432232789a927e1aafe6832fed3c49,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85060800167
"Ruth, K.S., Day, F.R., Tyrrell, J., Thompson, D.J., Wood, A.R., Mahajan, A., Beaumont, R.N., Wittemans, L., Martin, S., Busch, A.S., Erzurumluoglu, A.M., Hollis, B., O’Mara, T.A., McCarthy, M.I., Langenberg, C., Easton, D.F., Wareham, N.J., Burgess, S., Murray, A., Ong, K.K., Frayling, T.M., Perry, J.R.B.",57220337912;57203122743;36149612100;56413558200;36505189800;8907580300;57156164500;56899297700;57214853922;55549733600;57193800595;57211039015;57193516949;7402061249;58062162200;57216829503;34668706300;37080302300;57833059800;57216343734;7003962934;57208094738;,Using human genetics to understand the disease impacts of testosterone in men and women,2020,Nature Medicine,26,2,,252,258,,379,10.1038/s41591-020-0751-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079323434&doi=10.1038%2fs41591-020-0751-5&partnerID=40&md5=74d9d85fdeff1f0141f0f194b3f45f4a,Article,Final,"All Open Access, Green",Scopus,2-s2.0-85079323434
"Zhao, Q., Wang, J., Hemani, G., Bowden, J., Small, D.S.",57197799414;57200021424;57207869708;26321030600;14025065700;,Statistical inference in two-sample summary-data Mendelian randomization using robust adjusted profile score,2020,Annals of Statistics,48,3,,1742,1769,,371,10.1214/19-AOS1866,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090304676&doi=10.1214%2f19-AOS1866&partnerID=40&md5=7a80a16dcfc69918d08d2e83b7782f1b,Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-85090304676
"Carter, A.R., Sanderson, E., Hammerton, G., Richmond, R.C., Davey Smith, G., Heron, J., Taylor, A.E., Davies, N.M., Howe, L.D.",57207568908;56707095100;55839913300;56118190500;57220145221;7006836112;7405888600;41561133300;14630195700;,Mendelian randomisation for mediation analysis: current methods and challenges for implementation,2021,European Journal of Epidemiology,36,5,,465,478,,368,10.1007/s10654-021-00757-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105743682&doi=10.1007%2fs10654-021-00757-1&partnerID=40&md5=1ff9540aad3d0aa285fd14d4df596da4,Article,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-85105743682
"Haycock, P.C., Burgess, S., Nounu, A., Zheng, J., Okoli, G.N., Bowden, J., Wade, K.H., Timpson, N.J., Evans, D.M., Willeit, P., Aviv, A., Gaunt, T.R., Hemani, G., Mangino, M., Ellis, H.P., Kurian, K.M., Pooley, K.A., Eeles, R.A., Lee, J.E., Fang, S., Chen, W.V., Law, M.H., Bowdler, L.M., Iles, M.M., Yang, Q., Worrall, B.B., Markus, H.S., Hung, R.J., Amos, C.I., Spurdle, A.B., Thompson, D.J., O'Mara, T.A., Wolpin, B., Amundadottir, L., Stolzenberg-Solomon, R., Trichopoulou, A., Onland-Moret, N.C., Lund, E., Duell, E.J., Canzian, F., Severi, G., Overvad, K., Gunter, M.J., Tumino, R., Svenson, U., Van Rij, A., Baas, A.F., Bown, M.J., Samani, N.J., Van t'Hof, F.N.G., Tromp, G., Jones, G.T., Kuivaniemi, H., Elmore, J.R., Johansson, M., Mckay, J., Scelo, G., Carreras-Torres, R., Gaborieau, V., Brennan, P., Bracci, P.M., Neale, R.E., Olson, S.H., Gallinger, S., Li, D., Petersen, G.M., Risch, H.A., Klein, A.P., Han, J., Abnet, C.C., Freedman, N.D., Taylor, P.R., Maris, J.M., Aben, K.K., Kiemeney, L.A., Vermeulen, S.H., Wiencke, J.K., Walsh, K.M., Wrensch, M., Rice, T., Turnbull, C., Litchfield, K., Paternoster, L., Standl, M., Abecasis, G.R., SanGiovanni, J.P., Li, Y., Mijatovic, V., Sapkota, Y., Low, S.-K., Zondervan, K.T., Montgomery, G.W., Nyholt, D.R., Van Heel, D.A., Hunt, K., Arking, D.E., Ashar, F.N., Sotoodehnia, N., Woo, D., Rosand, J., Comeau, M.E., Brown, W.M., Silverman, E.K., Hokanson, J.E., Cho, M.H., Hui, J., Ferreira, M.A., Thompson, P.J., Morrison, A.C., Felix, J.F., Smith, N.L., Christiano, A.M., Petukhova, L., Betz, R.C., Fan, X., Zhang, X., Zhu, C., Langefeld, C.D., Thompson, S.D., Wang, F., Lin, X., Schwartz, D.A., Fingerlin, T., Rotter, J.I., Cotch, M.F., Jensen, R.A., Munz, M., Dommisch, H., Schaefer, A.S., Han, F., Ollila, H.M., Hillary, R.P., Albagha, O., Ralston, S.H., Zeng, C., Zheng, W., Shu, X.-O., Reis, A., Uebe, S., Hüffmeier, U., Kawamura, Y., Otowa, T., Sasaki, T., Hibberd, M.L., Davila, S., Xie, G., Siminovitch, K., Bei, J.-X., Zeng, Y.-X., Försti, A., Chen, B., Landi, S., Franke, A., Fischer, A., Ellinghaus, D., Flores, C., Noth, I., Ma, S.-F., Foo, J.N., Liu, J., Kim, J.-W., Cox, D.G., Delattre, O., Mirabeau, O., Skibola, C.F., Tang, C.S., Garcia-Barcelo, M., Chang, K.-P., Su, W.-H., Chang, Y.-S., Martin, N.G., Gordon, S., Wade, T.D., Lee, C., Kubo, M., Cha, P.-C., Nakamura, Y., Levy, D., Kimura, M., Hwang, S.-J., Hunt, S., Spector, T., Soranzo, N., Manichaikul, A.W., Barr, R.G., Kahali, B., Speliotes, E., Yerges-Armstrong, L.M., Cheng, C.-Y., Jonas, J.B., Wong, T.Y., Fogh, I., Lin, K., Powell, J.F., Rice, K., Relton, C.L., Martin, R.M., Davey Smith, G.",35196088100;57722208500;57194422733;57195956687;58822246400;26321030600;54581733500;35355373400;7601570762;57201562616;8439144300;6603377285;57207869708;15926160500;57220137859;6701713789;57215490248;7006235391;25930386800;8651491100;14051466700;26425083200;55674732000;57203463228;7404077037;57885337400;7102054556;7102804740;57203053825;57218256361;56413558200;57193516949;8642453600;57223054862;6701861730;56448218100;8770573500;55423514100;7004300753;56221555400;7004042887;7007164627;57212525623;7006077607;57212401500;57212568397;57209810206;7003652591;7004345054;57210922462;7005814412;7406141342;7005985231;7005692791;56447900600;7201891825;57212671682;36069028100;56576167900;57217586210;6603636147;7102696668;57214510899;34975072000;35290518800;7202062781;57203072921;7402143633;57217003278;57202527946;57198367301;57212953954;7005272665;6603602853;57200887465;57204797621;7006038504;36453277800;7004910613;12041033800;17347135900;56422214500;57211727740;57197777383;56521788900;57206508723;56544816800;57221718632;57208687625;57198744178;7003864514;8739667300;6701531258;6603786839;57197038575;57212013993;57209970374;57212865406;7103062797;6701794559;57202553455;57199821508;57203069737;57196836046;57219307474;7102159798;9740452100;57203018932;57218601840;57202519178;57191443685;7102520032;15835467400;35445657200;57198812482;34668762500;56606548200;7004078855;57217786253;57218666099;57384211100;57210539418;57207906449;56284453500;57213857410;57202315066;57191633225;24437899600;57209290419;57225658899;25636363300;57212548166;6507876500;7102615949;57207900919;56393517800;55630916600;57203070641;6507425429;6506731860;35310919600;6602179498;55629396800;57205306728;7004546617;57216109808;35404700300;22949916100;7402981579;7003447292;57201758047;7004669349;57201765376;56895502800;57214847578;59268196800;57197071726;56655788600;38661247200;57208523547;55929667300;57206383131;57203082641;16031657800;57201140654;35764635500;57222642136;57133312800;55724077200;7501842414;57195254907;56884953600;57201705376;57211732424;57216067537;22133718700;57201448078;56841119800;7404739077;57198416377;7402383343;35351391300;55800239500;57216593567;24330708900;57216385887;57216998402;35103784600;55539712500;57215380211;7403147159;57209496789;57221035267;7403541196;14120284900;6603403494;55689388800;35354080500;,Association between telomere length and risk of cancer and non-neoplastic diseases a mendelian randomization study,2017,JAMA Oncology,3,5,,636,651,,367,10.1001/jamaoncol.2016.5945,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019502119&doi=10.1001%2fjamaoncol.2016.5945&partnerID=40&md5=4a6ec6fc274b11fb5d91f23bafa607c5,Article,Final,"All Open Access, Green",Scopus,2-s2.0-85019502119
