2017,"Association between telomere length and risk of cancer and non-neoplastic diseases a mendelian randomization study",23742445,"JAMA Oncology","3","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,58,53,47,44,54,44,62,24,406,0,406
2020,"A comparison of robust Mendelian randomization methods using summary data",10982272,"Genetic Epidemiology","44","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,52,52,58,160,48,378,0,378
2020,"Physical activity and risks of breast and colorectal cancer: a Mendelian randomisation analysis",20411723,"Nature Communications","11","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,24,28,64,206,50,376,0,376
2020,"A robust and efficient method for Mendelian randomization with hundreds of genetic variants",20411723,"Nature Communications","11","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,49,66,72,137,36,374,0,374
2019,"Genome-wide association study identifies genetic loci for self-reported habitual sleep duration supported by accelerometer-derived estimates",20411723,"Nature Communications","10","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,44,54,70,75,90,27,372,0,372
2019,"Maternal and fetal genetic effects on birth weight and their relevance to cardio-metabolic risk factors",15461718,"Nature Genetics","51","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,47,74,83,62,68,25,368,0,368
2018,"Mendelian randomization with a binary exposure variable: interpretation and presentation of causal estimates",15737284,"European Journal of Epidemiology","33","10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,29,57,59,71,97,26,350,0,350
2020,"Evidence for causal effects of lifetime smoking on risk for depression and schizophrenia: A Mendelian randomisation study",14698978,"Psychological Medicine","50","14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,43,70,75,109,36,349,0,349
2020,"Mendelian randomization accounting for correlated and uncorrelated pleiotropic effects using genome-wide summary statistics",15461718,"Nature Genetics","52","7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,31,71,82,123,37,347,0,347
2018,"GWAS of lifetime cannabis use reveals new risk loci, genetic overlap with psychiatric traits, and a causal influence of schizophrenia",15461726,"Nature Neuroscience","21","9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,24,54,83,65,51,41,8,328,0,328
2018,"Using genetic data to strengthen causal inference in observational research",14710064,"Nature Reviews Genetics","19","9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,29,36,52,51,55,76,16,323,0,323
2018,"Genome Analyses of &gt;200,000 Individuals Identify 58 Loci for Chronic Inflammation and Highlight Pathways that Link Inflammation and Complex Disorders",15376605,"American Journal of Human Genetics","103","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,40,53,59,66,54,15,298,0,298
2021,"Testing and correcting for weak and pleiotropic instruments in two-sample multivariable Mendelian randomization",10970258,"Statistics in Medicine","40","25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,38,86,120,49,297,0,297
2017,"Genetic association of waist-to-hip ratio with cardiometabolic traits, type 2 diabetes, and coronary heart disease",15383598,"JAMA - Journal of the American Medical Association","317","6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,47,39,39,34,47,37,33,7,295,0,295
2017,"Causal Associations of Adiposity and Body Fat Distribution with Coronary Heart Disease, Stroke Subtypes, and Type 2 Diabetes Mellitus: A Mendelian Randomization Analysis",15244539,"Circulation","135","24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,40,40,46,37,43,32,33,5,279,0,279
2017,"Extending the MR-Egger method for multivariable Mendelian randomization to correct for both measured and unmeasured pleiotropy",10970258,"Statistics in Medicine","36","29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,24,40,37,41,76,26,263,0,263
2018,"Distinguishing genetic correlation from causation across 52 diseases and complex traits",15461718,"Nature Genetics","50","12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,21,47,39,44,70,15,255,0,255
2019,"Biological and clinical insights from genetics of insomnia symptoms",15461718,"Nature Genetics","51","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,33,28,52,55,57,18,254,0,254
2023,"Mendelian randomization for cardiovascular diseases: principles and applications",15229645,"European Heart Journal","44","47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,167,82,250,0,250
2018,"GWAS identifies 14 loci for device-measured physical activity and sleep duration",20411723,"Nature Communications","9","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,37,46,62,39,41,16,248,0,248
2021,"Genetic insights into biological mechanisms governing human ovarian ageing",14764687,"Nature","596","7872",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,46,79,84,22,237,0,237
2019,"Probabilistic fine-mapping of transcriptome-wide association studies",15461718,"Nature Genetics","51","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,22,44,48,48,48,21,236,0,236
2020,"Mendelian randomization study of inflammatory bowel disease and bone mineral density",17417015,"BMC Medicine","18","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,30,61,114,27,234,0,234
2019,"Implementing MR-PRESSO and GCTA-GSMR for pleiotropy assessment in Mendelian randomization studies from a practitioner's perspective",10982272,"Genetic Epidemiology","43","6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,14,57,116,27,225,0,225
2020,"Genome-wide meta-analysis of problematic alcohol use in 435,563 individuals yields insights into biology and relationships with other traits",15461726,"Nature Neuroscience","23","7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,38,63,52,45,21,222,0,222
2017,"Inflammatory biomarkers and risk of schizophrenia: A 2-sample mendelian randomization study",2168622X,"JAMA Psychiatry","74","12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,17,16,31,36,34,40,24,216,0,216
2023,"Causal relationship between gut microbiota and cancers: a two-sample Mendelian randomisation study",17417015,"BMC Medicine","21","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,140,42,210,0,210
2020,"Avoiding dynastic, assortative mating, and population stratification biases in Mendelian randomization through within-family analyses",20411723,"Nature Communications","11","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,39,44,45,66,14,210,0,210
2018,"Statistical and integrative system-level analysis of DNA methylation data",14710064,"Nature Reviews Genetics","19","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,38,32,25,41,25,18,8,204,0,204
2019,"Contribution of genetics to visceral adiposity and its relation to cardiovascular and metabolic disease",1546170X,"Nature Medicine","25","9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,22,49,54,41,20,203,0,203
2022,"Mendelian randomization analyses support causal relationships between blood metabolites and the gut microbiome",15461718,"Nature Genetics","54","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,60,92,23,200,0,200
2017,"The Role of Obesity, Type 2 Diabetes, and Metabolic Factors in Pancreatic Cancer: A Mendelian Randomization Study",14602105,"Journal of the National Cancer Institute","109","9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18,19,30,42,30,30,18,11,200,0,200
2021,"Polygenic basis and biomedical consequences of telomere length variation",15461718,"Nature Genetics","53","10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39,55,86,18,199,0,199
2021,"The use of two-sample methods for Mendelian randomization analyses on single large datasets",14643685,"International Journal of Epidemiology","50","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,38,61,77,13,199,0,199
2019,"Understanding the consequences of education inequality on cardiovascular disease: Mendelian randomisation study",17561833,"The BMJ","365","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,41,30,36,48,24,199,0,199
2016,"Obesity and Multiple Sclerosis: A Mendelian Randomization Study",15491676,"PLoS Medicine","13","6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,20,20,22,27,34,25,25,5,199,0,199
2021,"Constrained maximum likelihood-based Mendelian randomization robust to both correlated and uncorrelated pleiotropic effects",15376605,"American Journal of Human Genetics","108","7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,41,96,39,197,0,197
2019,"Genetic predisposition to mosaic Y chromosome loss in blood",14764687,"Nature","575","7784",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,35,32,49,43,14,196,0,196
2019,"Genetic studies of accelerometer-based sleep measures yield new insights into human sleep behaviour",20411723,"Nature Communications","10","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,22,42,25,41,44,13,194,0,194
2018,"Inferring causal relationships between risk factors and outcomes from genome-wide association study data",1545293X,"Annual Review of Genomics and Human Genetics","19","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,15,25,26,37,58,21,189,0,189
2022,"Causal Relationship Between Gut Microbiota and Autoimmune Diseases: A Two-Sample Mendelian Randomization Study",16643224,"Frontiers in Immunology","12","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,60,98,13,183,0,183
2018,"Cannabis use and risk of schizophrenia: A Mendelian randomization study",14765578,"Molecular Psychiatry","23","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,14,21,33,24,29,35,15,183,0,183
2019,"Evidence of a causal relationship between body mass index and psoriasis: A mendelian randomization study",15491676,"PLoS Medicine","16","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,21,32,27,38,31,19,182,0,182
2023,"15 years of GWAS discovery: Realizing the promise",15376605,"American Journal of Human Genetics","110","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,102,54,181,0,181
2019,"Sleep Duration and Myocardial Infarction",15583597,"Journal of the American College of Cardiology","74","10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,39,31,45,38,8,181,0,181
2021,"Shared genetic pathways contribute to risk of hypertrophic and dilated cardiomyopathies with opposite directions of effect",15461718,"Nature Genetics","53","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,41,52,43,18,180,0,180
2019,"Mendelian randomization integrating GWAS and eQTL data reveals genetic determinants of complex and clinical traits",20411723,"Nature Communications ","10","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,33,41,28,49,9,180,0,180
2020,"Shared mechanisms between coronary heart disease and depression: findings from a large UK general population-based cohort",14765578,"Molecular Psychiatry","25","7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,26,32,25,37,38,10,174,0,174
2019,"Genetically Determined Levels of Circulating Cytokines and Risk of Stroke: Role of Monocyte Chemoattractant Protein-1",15244539,"Circulation","139","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,25,37,25,52,13,173,0,173
2022,"Statistical methods for Mendelian randomization in genome-wide association studies: A review",20010370,"Computational and Structural Biotechnology Journal","20","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,114,32,172,0,172
2022,"Genome-wide analyses of 200,453 individuals yield new insights into the causes and consequences of clonal hematopoiesis",15461718,"Nature Genetics","54","8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,70,70,26,170,0,170
2020,"Causal relationships between NAFLD, T2D and obesity have implications for disease subphenotyping",16000641,"Journal of Hepatology","73","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,25,41,39,40,13,168,0,168
2021,"Causal associations of short and long sleep durations with 12 cardiovascular diseases: Linear and nonlinear Mendelian randomization analyses in UK Biobank",15229645,"European Heart Journal","42","34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,27,56,57,20,165,0,165
2021,"Combining the strengths of inverse-variance weighting and Egger regression in Mendelian randomization using a mixture of regressions model",15537404,"PLoS Genetics","17","11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,35,92,30,164,0,164
2023,"Causal role of immune cells in schizophrenia: Mendelian randomization (MR) study",1471244X,"BMC Psychiatry","23","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,127,34,162,0,162
2021,"Advancing the use of genome-wide association studies for drug repurposing",14710064,"Nature Reviews Genetics","22","10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,24,36,72,22,160,0,160
2019,"Genomic and transcriptomic association studies identify 16 novel susceptibility loci for venous thromboembolism",15280020,"Blood","134","19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,31,32,41,25,13,160,0,160
2021,"Dissecting the Association between Inflammation, Metabolic Dysregulation, and Specific Depressive Symptoms: A Genetic Correlation and 2-Sample Mendelian Randomization Study",2168622X,"JAMA Psychiatry","78","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,39,44,33,19,157,0,157
2020,"An atlas on risk factors for type 2 diabetes: a wide-angled Mendelian randomisation study",14320428,"Diabetologia","63","11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,40,35,48,12,157,0,157
2023,"Bias correction for inverse variance weighting Mendelian randomization",10982272,"Genetic Epidemiology","47","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,102,36,156,0,156
2020,"An exposure-wide and mendelian randomization approach to identifying modifiable factors for the prevention of depression",15357228,"American Journal of Psychiatry","177","10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,22,34,33,41,19,154,0,154
2020,"A unified framework for joint-tissue transcriptome-wide association and Mendelian randomization analysis",15461718,"Nature Genetics","52","11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,34,34,42,24,152,0,152
2022,"Causal relationship between physical activity, leisure sedentary behaviors and COVID-19 risk: a Mendelian randomization study",14795876,"Journal of Translational Medicine","20","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,41,84,17,150,0,150
2021,"Using Mendelian randomization to improve the design of randomized trials",19430264,"Cold Spring Harbor Perspectives in Biology","13","7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,25,84,27,150,0,150
2019,"Using genetics to understand the causal influence of higher BMI on depression",14643685,"International Journal of Epidemiology","48","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,27,25,29,24,26,6,149,0,149
2017,"Large-scale GWAS identifies multiple loci for hand grip strength providing biological insights into muscular fitness",20411723,"Nature Communications","8","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,17,17,20,21,29,19,7,148,0,148
2020,"Genome-wide associations of human gut microbiome variation and implications for causal inference analyses",20585276,"Nature Microbiology","5","9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,30,41,40,22,8,144,0,144
2020,"Associations between gut microbiota and Alzheimer's disease, major depressive disorder, and schizophrenia",17422094,"Journal of Neuroinflammation","17","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,31,31,53,17,143,0,143
2019,"Body mass index and all cause mortality in HUNT and UK Biobank studies: Linear and non-linear mendelian randomisation analyses",17561833,"BMJ (Online)","364","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,30,39,25,24,9,143,0,143
2023,"The associations between modifiable risk factors and nonalcoholic fatty liver disease: A comprehensive Mendelian randomization study",15273350,"Hepatology","77","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,81,23,138,0,138
2019,"Assessment of causal direction between gut microbiota- dependent metabolites and cardiometabolic health: A bidirectional mendelian randomization analysis",1939327X,"Diabetes","68","9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,19,20,34,37,6,138,0,138
2018,"A Mendelian randomization study of the effects of blood lipids on breast cancer risk",20411723,"Nature Communications","9","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,20,25,33,25,12,137,0,137
2021,"Genome-wide association studies identify 137 genetic loci for DNA methylation biomarkers of aging",1474760X,"Genome Biology","22","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,33,58,20,136,0,136
2020,"Selecting likely causal risk factors from high-throughput experiments using multivariable Mendelian randomization",20411723,"Nature Communications","11","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,27,23,49,14,135,0,135
2018,"Adiposity and gastrointestinal cancers: epidemiology, mechanisms and future directions",17595053,"Nature Reviews Gastroenterology and Hepatology","15","11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13,16,24,22,24,20,8,135,0,135
2021,"GWAS of peptic ulcer disease implicates Helicobacter pylori infection, other gastrointestinal disorders and depression",20411723,"Nature Communications","12","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,30,41,40,14,133,0,133
2017,"Education and coronary heart disease: Mendelian randomisation study",17561833,"BMJ (Online)","358","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,17,20,24,18,18,13,8,132,0,132
2022,"Smoking and COVID-19 outcomes: an observational and Mendelian randomisation study using the UK Biobank cohort",14683296,"Thorax","77","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,40,45,37,5,129,0,129
2021,"Genetic determinants of daytime napping and effects on cardiometabolic health",20411723,"Nature Communications","12","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,26,30,47,20,129,0,129
2019,"An atlas of polygenic risk score associations to highlight putative causal relationships across the human phenome",2050084X,"eLife","8","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,27,34,27,18,15,0,129,0,129
2017,"Mendelian randomization: A novel approach for the prediction of adverse drug events and drug repurposing opportunities",14643685,"International Journal of Epidemiology","46","6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,15,13,14,24,39,8,128,0,128
2021,"Gene–environment correlations and causal effects of childhood maltreatment on physical and mental health: a genetically informed approach",22150374,"The Lancet Psychiatry","8","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,26,39,33,23,127,0,127
2019,"Mendelian randomization analysis using mixture models for robust and efficient estimation of causal effects",20411723,"Nature Communications","10","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,21,22,22,41,8,126,0,126
2018,"Elucidating the genetic basis of social interaction and isolation",20411723,"Nature Communications","9","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,9,25,22,23,26,8,125,0,125
2019,"Genome-wide analysis identifies molecular systems and 149 genetic loci associated with income",20411723,"Nature Communications","10","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,23,24,27,27,15,124,0,124
