Author,Study_Ref,Study_DOI,Exposure,Outcome,Instrument,Reported_Measure,Coeff_G_X,Coeff_G_X_SE,Coeff_G_Y,Coeff_G_Y_SE
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs6730325,OR,-0.015,0.003,0.061,0.046
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs2539706,OR,0.016,0.003,0.037,0.045
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs7585579,OR,0.02,0.003,0.082,0.045
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs1863161,OR,0.015,0.003,-0.014,0.045
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs359247,OR,0.022,0.003,-0.028,0.046
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs62180324,OR,-0.02,0.003,0.042,0.053
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs6750107,OR,0.015,0.003,-0.009,0.046
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs12714017,OR,0.015,0.003,-0.02,0.045
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs56208390,OR,0.022,0.004,-0.044,0.07
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs11692435,OR,0.025,0.005,0.045,0.082
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs13392222,OR,-0.023,0.004,0.032,0.063
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs1901477,OR,0.03,0.003,-0.063,0.045
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs11889814,OR,-0.021,0.004,0.129,0.063
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs3811038,OR,0.019,0.003,0.051,0.05
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs75210106,OR,-0.019,0.003,0.01,0.059
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs34399632,OR,0.019,0.003,0.095,0.05
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs74697736,OR,0.022,0.003,0.024,0.049
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs6756212,OR,-0.034,0.003,-0.035,0.045
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs3076896,OR,0.023,0.003,-0.339,0.511
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs16826827,OR,-0.022,0.004,0.101,0.065
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs1445649,OR,0.021,0.003,0.082,0.045
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs1722666,OR,0.016,0.003,-0.011,0.05
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs11678980,OR,0.018,0.003,0.032,0.046
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs12474587,OR,0.024,0.003,0.077,0.045
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs357304,OR,0.017,0.003,-0.03,0.05
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs13007361,OR,0.018,0.003,0.041,0.054
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs7600835,OR,-0.015,0.003,-0.001,0.048
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs6750529,OR,0.02,0.003,0.081,0.052
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs17229285,OR,-0.015,0.003,0.009,0.045
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs3115418,OR,-0.014,0.003,-0.061,0.045
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs62193862,OR,0.024,0.004,-0.111,0.078
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs4674916,OR,-0.018,0.003,-0.005,0.048
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs4674993,OR,-0.024,0.003,-0.059,0.057
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs11713899,OR,0.019,0.003,0.058,0.058
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs748832,OR,0.017,0.003,0.037,0.046
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs10446419,OR,-0.02,0.003,-0.071,0.056
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs13319205,OR,0.017,0.003,0.049,0.049
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs3172494,OR,-0.029,0.004,0.107,0.07
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs2526390,OR,0.02,0.003,0.009,0.047
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs2276825,OR,0.019,0.003,0.004,0.052
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs2306866,OR,-0.017,0.003,0.01,0.046
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs73831818,OR,0.032,0.005,-0.164,0.099
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs1910236,OR,0.015,0.003,0.043,0.045
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs7640107,OR,-0.014,0.003,-0.05,0.045
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs2734390,OR,0.015,0.003,0.047,0.046
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs221988,OR,-0.015,0.003,0,0.047
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs2196356,OR,-0.019,0.003,-0.052,0.05
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs11128203,OR,0.02,0.003,0.01,0.045
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs62246017,OR,-0.016,0.003,-0.064,0.049
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs4543050,OR,0.022,0.003,0.095,0.06
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs6782116,OR,-0.015,0.003,0.082,0.045
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs13066050,OR,0.019,0.003,0.079,0.054
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs12633090,OR,-0.023,0.003,-0.049,0.059
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs1549979,OR,-0.025,0.003,-0.04,0.046
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs74664784,OR,-0.02,0.003,-1.387,2.408
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs57153235,OR,-0.019,0.003,0.015,0.048
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs6437769,OR,0.014,0.003,0.084,0.046
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs9288999,OR,0.017,0.003,0.022,0.052
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs6438436,OR,0.025,0.003,-0.061,0.057
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs12053870,OR,0.016,0.003,0.004,0.045
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs9826984,OR,-0.014,0.003,-0.085,0.045
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs2279829,OR,-0.017,0.003,-0.11,0.056
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs2319545,OR,0.023,0.004,0.022,0.061
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs10935779,OR,-0.014,0.003,-0.028,0.045
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs963354,OR,0.015,0.003,0.045,0.048
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs1714521,OR,-0.016,0.003,-0.072,0.046
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs1449012,OR,-0.015,0.003,-0.002,0.045
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs9850597,OR,-0.019,0.003,0.117,0.06
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs1187820,OR,-0.014,0.003,0.087,0.045
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs16828799,OR,0.02,0.004,-0.011,0.062
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs9841807,OR,0.016,0.003,0.01,0.05
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs7631379,OR,0.021,0.003,0.085,0.053
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs4140932,OR,-0.014,0.003,-0.029,0.045
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs12642744,OR,-0.017,0.003,-0.019,0.05
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs59537158,OR,0.022,0.003,0.021,0.053
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs1389171,OR,-0.017,0.003,0.088,0.051
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs55944129,OR,-0.018,0.003,-0.02,0.051
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs58400863,OR,-0.02,0.003,0.006,0.047
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs7657022,OR,0.018,0.003,0.039,0.045
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs55900829,OR,0.019,0.003,-0.105,0.503
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs112725451,OR,0.026,0.003,0.005,0.06
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs1160685,OR,0.015,0.003,-0.007,0.045
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs1435479,OR,0.016,0.003,-0.013,0.049
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs3934797,OR,-0.021,0.003,-0.012,0.057
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs71602617,OR,-0.018,0.003,0.024,0.054
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs7696257,OR,0.015,0.003,0.052,0.047
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs13109980,OR,-0.022,0.003,0.06,0.047
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs1116690,OR,0.016,0.003,0.021,0.052
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs13110073,OR,-0.025,0.003,-0.007,0.046
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs28717373,OR,-0.016,0.003,-0.085,0.047
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs62340589,OR,0.017,0.003,0.074,0.054
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs12517438,OR,0.015,0.003,-0.062,0.045
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs35375873,OR,-0.027,0.004,-0.059,0.072
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs986714,OR,-0.016,0.003,-0.038,0.045
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs71592686,OR,0.021,0.003,-0.033,0.05
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs2028269,OR,0.016,0.003,0.02,0.045
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs6874731,OR,0.015,0.003,-0.043,0.045
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs6452785,OR,-0.027,0.003,0.069,0.045
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs10805858,OR,0.018,0.003,0.053,0.047
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs181508347,OR,0.081,0.013,-0.113,0.245
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs42417,OR,0.017,0.003,0.025,0.049
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs72780746,OR,-0.026,0.003,-0.011,0.06
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs10060196,OR,0.018,0.003,-0.061,0.045
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs72789626,OR,-0.026,0.004,0.11,0.063
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs17165769,OR,0.016,0.003,0.027,0.046
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs329124,OR,-0.016,0.003,0.037,0.045
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs1385108,OR,0.019,0.003,-0.031,0.053
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs1173461,OR,0.017,0.003,-0.012,0.048
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs11956866,OR,-0.015,0.003,0.03,0.045
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs3909281,OR,0.021,0.003,0.031,0.045
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs3843905,OR,-0.015,0.003,0.011,0.046
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs79476395,OR,0.033,0.005,-0.241,0.094
